BL,BZ,CSDK,DD,DLYK,DTJ,GL,GT,HQL,JFDQ,JM,JTMDQ,LC,LHS,NW,PZ,STSS,WZ,XD,YA,YG,ZHDQ,ZJK,ZSGMT
-172.0014347425143,-132.26291676264233,-126.39392416122908,-177.76715791421975,-139.43799384662873,-126.82974158646319,-130.13059767877513,-140.9478445544039,-130.20101173935873,-130.3403337357302,-141.28339328036884,-131.49583265554173,-129.8516848247821,-131.68950804323777,-123.4262560938259,-124.80315386472301,-138.4271621982812,-127.60062091070334,-126.19537189631515,-129.85953416405428,-141.83265096390565,-140.28334596550948,-231.6622454300695,-142.1033355122329
-162.82582744735524,-132.45699613835433,-130.87022876270143,-169.8781319600554,-134.70068719521467,-127.06539850036431,-128.0309579213257,-138.903179969408,-128.93514347420228,-137.2445612476004,-138.0810272796053,-140.90228239655053,-138.03439384764297,-130.6232165039965,-120.1297319227103,-121.424091757563,-135.0770198291762,-123.62269572344535,-126.56355772466436,-134.4418940300659,-142.65311986178588,-145.94684752729947,-239.8511375313986,-140.36785085769307
-179.8031926674534,-128.31765393941555,-130.32173972121106,-182.91013729109488,-132.83935510284854,-127.25931773820697,-125.03608257932946,-137.3224797298076,-124.79470264223919,-133.49674354426352,-136.00046888150354,-135.1768132673097,-140.10133094175518,-133.2529790447874,-125.70706521116915,-118.73037537436421,-137.5310305170799,-118.85873463020053,-122.394329756574,-135.06709298567662,-148.08716562701446,-142.16520259633413,-249.8053571959537,-137.00951336106522
-177.3435041732041,-137.67803640158363,-136.72826818018413,-178.40578585000904,-137.33078292731238,-129.43447235206037,-136.59103704326967,-139.17099025332823,-130.35437134910413,-143.13559649611386,-139.2398944663658,-143.63611457177305,-144.32806785109938,-133.7655967615196,-137.27198332573508,-124.97144222591075,-140.3221798783941,-126.82624564811135,-130.9339767082274,-141.79017360401764,-145.7278052448435,-150.86936436788199,-231.6425435664777,-143.78902933819398
-129.19525711621242,-99.43379217300925,-98.17304966541593,-133.7056196458008,-101.32571431019677,-98.25987532232199,-100.56375674355417,-101.69621491960072,-94.81689117656356,-108.28685472486764,-102.87611442128446,-112.78006446954535,-132.21844727634988,-102.72797527083672,-93.13060890790939,-96.26681712353802,-103.62418571580912,-93.49136756691718,-92.05427127724812,-116.17307027390656,-130.26329494213098,-115.14014653632205,-199.92228702907607,-107.2413149261008
-135.77840316222117,-132.65599387569637,-129.15885708262232,-142.73439433077004,-128.13783205631447,-118.24523568949482,-134.68019142979043,-125.16600329322193,-121.94671438228117,-134.9079169450758,-126.53441135691915,-136.6504362756393,-127.6944055359548,-117.79926529140013,-131.5307134785726,-124.69797164546775,-118.61006761756863,-126.12388946399714,-126.84397337880463,-130.8273113764685,-137.6744219762987,-143.1157142773972,-187.13955947690215,-136.45840963294754
-134.1858304471847,-133.26246781285977,-132.54602789421662,-135.8585488204771,-123.52029620876345,-108.21778051948472,-116.91595963386439,-125.02224521640298,-121.67794084472987,-144.43171432979162,-128.23285161775678,-149.73000213413985,-98.39821356560081,-108.47896803287612,-126.91831787683269,-113.06150816616817,-115.9988987530384,-118.17498258131901,-121.43450107030381,-96.93691767199753,-110.69051388063912,-151.3600991168578,-146.38309787985585,-141.85300533429677
-150.63802429659523,-138.59065873785227,-135.2734176325318,-153.01313586699558,-132.9033682547725,-117.68602142228609,-126.26554127988602,-135.66763423433468,-129.87351223406702,-141.05024083428128,-137.93789574132245,-140.47398467733046,-104.35449380222668,-119.43333725968591,-131.84952794221584,-120.75536989061095,-126.39669251666413,-126.02958430724433,-129.80725505828696,-105.43421504661974,-119.95134387013925,-149.92784018612556,-167.29220601793284,-147.08378280073467
-114.10203823609736,-120.65378732944654,-120.6095354745801,-118.70142210394009,-112.0146124508594,-100.54644300771433,-114.07848611841155,-115.15565336121364,-111.75325576829376,-127.23034141811911,-118.05415176281545,-133.8681164455621,-112.52957530920762,-101.50531834294517,-120.06800484751457,-103.32746346559584,-107.7776934118317,-107.83909998381073,-113.60135670809694,-118.77903237014011,-105.56014440465638,-135.14779645296892,-135.52509367526932,-126.85703086864676
-135.85709179150825,-119.82853259558036,-121.63485642312072,-133.19479649348906,-119.45698444496965,-109.6689443971354,-115.17465903160695,-123.22717582857202,-113.89434545488673,-125.80619869140943,-121.03540671600032,-134.14023465594477,-112.47759001942993,-110.08265494927193,-118.857377825234,-106.95083836619926,-116.54964301201298,-111.01218380426387,-118.968796691503,-116.62513845978971,-113.47349831239595,-132.47907105354346,-158.5957584439631,-124.7479182079455
