BL,BZ,CSDK,DD,DLYK,DTJ,GL,GT,HQL,JFDQ,JM,JTMDQ,LC,LHS,NW,PZ,STSS,WZ,XD,YA,YG,ZHDQ,ZJK,ZSGMT
15293424.457891546,16278615.368479341,15686353.08629875,15535028.61577945,15815665.637360886,15442352.703113372,15227374.653390544,16601114.158191742,16397840.186036654,16392167.21520076,16834450.55077954,16341572.930178223,13773792.681134643,15496490.03314245,14622300.585249936,15303488.708352186,15931623.064261867,15851076.871496195,15763687.781142773,14162340.923119396,14554118.736797929,16874771.9797895,14624834.65859639,16575806.114978278
14440549.336714929,16203614.276690496,16097422.67861984,15055552.158802748,15452348.957750069,15280701.720746716,14718944.621904766,16313727.641142525,16062634.891670048,17343368.257231202,16622818.720481547,17623804.87420537,14625474.912023665,15448695.938664334,14526938.5378697,14842795.013968064,15758293.396177756,15210090.47349265,15251000.048614683,14482081.954877041,14763964.210282564,17504474.81354257,14733515.778001867,16619166.472452605
15883238.656719653,15421397.752849182,15652872.150042636,16085342.886615792,15001448.24824589,15242602.225029355,14373304.30266385,15778493.056008218,15270964.878659075,16831707.647317916,16000227.461673237,17253689.55701564,15170953.450440964,15688451.593697527,14824232.111126138,14437209.953828119,15828446.13512523,14487514.85747383,14550723.672191305,14944064.701621035,15619362.9969605,16838904.356818974,15852879.719541008,15857221.928433297
15406099.232352637,16143626.472720856,16258760.179883838,15621728.00170401,15608021.390130306,15491574.305696031,15271747.414934257,16446680.920372121,16039930.038518852,17011760.695444,16672188.929899665,17255216.73911213,15317237.404816844,15779101.115731267,15698890.107826577,14975910.14480034,16170797.88906846,15292511.179721914,15447204.185259046,15227326.148500077,15185910.203175819,16974385.390152607,15056624.23146443,16380906.519098641
11892277.707362423,11791706.06340219,11726503.62695784,12142009.61674005,11949230.675614374,12506878.03439767,11586135.808129976,12466005.124979302,11880048.204664402,13084082.225194668,12622397.364631241,13371636.011799606,14164175.364170486,12814134.870477147,10904025.470978176,11722646.268989777,12570313.907086777,11413414.31632737,11120209.13977526,12928997.226053933,13620005.956140371,13457016.765915355,13394446.66547496,12546945.417786809
13189803.780100005,14315589.772571972,13943434.97062639,13301663.634556636,14044596.17649143,14180972.132845923,14127570.462709451,14380403.239314223,14338699.40779926,14337945.653969051,14454793.162416503,14406836.089623483,13437159.650416473,14000360.863724025,13459832.896363264,14090670.197690465,13798134.373869577,14298614.069423592,14212709.725344181,13917699.997089943,14007308.66319392,14634650.615571745,13439082.282597927,14228112.651784742
11955267.736032791,14106731.112206483,14098995.662338706,12037468.430627791,12927319.735949816,12646486.265187578,12507020.136092193,13569394.6312972,13781206.385161743,14972466.715235174,13903448.14092956,15255109.262822872,10954116.873445028,12427266.506943354,13378472.010868184,12662725.443132468,12616732.763189733,13164504.020068215,13395839.483460926,10765300.822008071,11624933.30034255,15201146.946491972,10757682.800021464,14212412.045971906
13780370.23483999,14748355.810901947,14325036.436467282,13957944.697329016,14380596.743298946,14068606.23585583,13292130.53959998,15166955.617377946,14863650.963747298,15308609.837511798,15440340.077207895,15359078.74663187,11770975.080143327,14187855.479183068,13340459.69731327,13737700.071310623,14598228.671413558,14123724.825503403,13948014.852593174,11412855.165245123,12910080.1707194,15812068.138335258,12881239.380343609,15296870.022722939
11273316.365671726,13274538.89591627,13216868.463868978,11576174.882854886,12381704.47797854,11949743.94035121,12119706.39238639,13226052.001382818,13131936.549748177,14298459.5483178,13612592.744993567,14544812.667617438,12089603.057973763,11946322.740734547,12778332.479705244,11825357.842219358,12466746.828606313,12321216.047294205,12499092.585140029,12934712.904226214,11060754.40515611,14666981.798132703,10617794.334470445,13806627.55406146
12366122.397029875,13463576.079453507,13642095.837690452,11933108.963537151,12397420.419280557,12033991.153666176,12205097.815352911,13134603.827483274,13150983.86035385,14423029.593155181,13451020.36109286,14744654.280893115,11624764.586469645,12043760.1352166,13172159.179682562,11885224.980983833,12455707.273529125,12403547.331595734,12784518.581990369,12230060.56000136,11480488.644620175,14460077.025223257,11392635.845244078,13597081.965032073
