BL,BZ,CSDK,DD,DLYK,DTJ,GL,GT,HQL,JFDQ,JM,JTMDQ,LC,LHS,NW,PZ,STSS,WZ,XD,YA,YG,ZHDQ,ZJK,ZSGMT
98994.13048191486,100493.62055096241,100011.6359753533,99934.46806713672,100715.03190549718,100555.20805431547,100009.58420608762,100597.5790984574,100613.24225316755,100406.586828957,100593.16197035492,100404.69374484186,97973.54996397234,100470.73288022802,99638.01812024815,100665.83104007854,100346.98774460288,100522.12320245686,100022.62643460363,98759.80128949221,99248.22145722876,100233.27214199853,98589.20518173871,100342.82890057906
98908.50712701272,100408.97078835336,99927.57110804477,99847.8877913573,100628.04262398956,100468.20681617373,99926.70460497505,100511.19458667653,100527.84278584922,100321.92254178772,100507.13050070322,100320.41605221997,97887.98608011815,100383.36546355153,99555.81451087705,100579.8775036122,100260.23488673971,100437.13123212905,99939.0056714843,98679.6003554369,99160.91753478699,100149.0215506639,98501.91905452806,100258.0388827161
98805.83604460402,100316.05905674561,99836.27426830244,99746.90002194907,100530.14692162065,100368.91535877046,99834.26162106376,100414.15117596342,100433.0082888097,100228.82136671741,100410.9471131307,100227.77709594987,97802.79345296678,100283.36309389105,99466.52335963123,100482.00320602088,100161.03840324785,100341.43662586455,99847.337244023,98595.81391041748,99061.88131524673,100055.57721341004,98401.0710507217,100163.58292681798
98819.19775003084,100334.11120798666,99856.11785082844,99766.19664120061,100548.105904713,100385.69385346911,99846.36953146516,100433.74655072123,100450.92228960335,100253.83092411047,100431.17679716587,100254.47427130734,97804.47167708563,100301.42684636729,99484.61543929827,100497.09722705263,100181.08393566415,100356.68994646195,99862.15444011755,98601.63490878696,99074.3698794315,100081.3723192955,98412.9906624587,100185.57879982133
98864.22310201805,100379.7364714629,99903.15757323166,99811.022947322,100591.23182281408,100425.45074753533,99884.21104415467,100477.68973931424,100495.24356405351,100302.86764789921,100475.45689051891,100304.90427666064,97824.53274010442,100342.02323333203,99531.07287452956,100536.92006643313,100224.2272895747,100398.31170812463,99904.2241374284,98626.8221061536,99106.4491265774,100129.96353282814,98448.14880670379,100231.11766527458
98829.39198196468,100330.03066342087,99858.60220629844,99769.129791345,100534.54284095846,100366.73115466889,99823.95801183705,100427.00494672637,100443.32105341641,100266.72004156036,100428.13227203274,100272.43724174418,97763.83669438388,100286.82274816661,99485.63515321963,100476.03159796447,100175.79744897365,100339.44263445289,99849.01087763968,98567.55426540988,99046.38324646291,100095.1453710035,98396.63117976279,100188.9160746486
98728.05155097204,100220.27216013336,99747.72681169202,99663.76852443347,100428.43421994895,100263.77807617186,99719.16780359932,100319.1973898301,100334.78453971462,100155.66398784066,100319.58572790051,100160.80762206683,97670.35334898102,100183.07398424383,99374.56696015508,100372.34203768738,100068.69348798263,100233.17642961018,99740.59653275914,98466.68284699631,98950.9452111231,99985.54565227531,98300.6391984637,100079.86420211381
98752.37986412703,100214.09700432334,99737.21951303666,99677.29481615832,100431.89140727614,100267.69448707216,99711.88434581603,100323.13886853307,100333.38642615097,100147.33902003942,100322.52945942154,100150.25314646905,97663.65062113076,100190.92273922912,99356.33773133742,100372.13630852073,100078.18260656217,100231.23090437922,99733.24254703044,98447.7838421297,98957.87217933795,99979.57356093841,98318.99159362451,100078.33905801007
98991.01726133854,100442.93451108091,99957.98116846738,99912.20696337438,100670.01754261611,100508.61657133554,99942.8313729491,100557.39228365546,100566.51537306908,100362.39699946293,100554.34704584496,100360.43427894695,97890.5062392276,100431.41240045788,99571.14542868322,100611.97487386805,100313.46315846557,100467.7746823225,99963.64272237277,98670.5359358627,99202.34080034822,100193.96164364139,98565.81911483873,100303.18892693991
99304.04472350217,100775.97947385542,100287.72634614601,100235.46181743771,101004.98865105573,100845.18179757253,100287.3221735977,100888.40071511081,100899.67572790616,100687.65412927554,100883.55534666899,100683.57367435649,98248.45606161562,100764.15815310796,99904.54854294057,100952.38462200941,100641.66259137764,100806.42842044354,100300.56443050773,99030.81779281633,99536.61697009717,100517.30663253869,98887.14302447731,100630.0136095797
99437.78445981146,100953.03067106976,100472.06681920802,100387.79291386949,101171.80265950928,101011.39500209263,100471.75155296222,101054.58419681746,101071.35546496489,100866.99249619944,101050.73852186165,100865.70528828459,98430.8683829329,100926.49226006574,100103.88426221762,101123.43960316149,100802.45957987527,100980.08467628136,100481.78241227522,99229.0375268418,99699.38155520654,100692.49602370003,99037.12037344114,100800.95807806095
99245.0928925679,100791.33190975255,100318.91548261174,100202.54472103839,100994.54984316677,100830.76394507998,100305.86527738551,100880.20049185214,100902.85044562376,100713.35003981831,100878.9283357972,100716.90331682727,98270.83517898037,100743.69866446266,99958.46462827962,100946.29498620161,100622.7129013883,100808.69173048595,100320.56227751328,99082.92635377187,99514.80066042741,100536.62930567592,98845.74900075527,100636.90479534374
99060.79100760743,100590.1508522457,100119.08267126186,100008.93184406376,100793.2609382291,100629.18530273436,100103.48792568443,100680.25066708484,100701.80418416626,100514.07968624031,100679.45415717053,100517.6650822794,98078.3350158697,100543.70142032039,99758.91292870794,100742.84595065279,100424.71652710253,100605.94771013664,100119.31939759043,98888.3405934872,99317.40945607552,100339.55686422077,98654.52262700401,100438.69192115705
98944.19977939794,100462.96243937139,99993.4276150582,99888.24450928526,100668.2200079335,100506.36013067335,99979.66662639363,100555.017882945,100574.99297885543,100389.78764197562,100553.5347503114,100394.76434034284,97967.4331867239,100421.32370628019,99632.85471619852,100618.79404616152,100301.73661942406,100480.71134983383,99993.80064537896,98770.58445110683,99201.24279848351,100215.80910243507,98539.726012065,100313.05517016882
99003.6896304288,100504.98035335272,100033.56549046143,99940.99948248365,100712.72938174535,100549.76210821241,100012.99813857539,100601.43452270055,100618.83211980436,100434.44035810056,100600.73340442606,100438.64750694258,97992.63191582628,100467.78850411288,99667.21869963098,100658.99961085948,100350.50768292641,100520.82061601033,100031.06592525651,98791.33749914939,99244.21002757135,100262.56709170547,98590.98893531483,100359.97850684727
98967.50612835602,100467.431954388,99993.9327584068,99907.01583207551,100677.31420024218,100513.18166968935,99967.26414830041,100567.41319668705,100582.75878765411,100399.79476441447,100567.12970657782,100403.56136869313,97924.36305777247,100432.93255979089,99621.25870550856,100620.56415328769,100316.88001914763,100481.76050387073,99988.91606437771,98721.4256888369,99202.24102348101,100228.47117382324,98550.44229635179,100325.67181653499
98922.34171040675,100440.00912721035,99968.35902636684,99869.58499838666,100647.7395956872,100482.27643112908,99940.56082196943,100537.05904942744,100554.1058903074,100370.96175007311,100536.5570241065,100375.1055715644,97903.43857873282,100400.6491135502,99600.6770937004,100591.60528772838,100284.13107512397,100453.85179397342,99962.61117524914,98703.43568835202,99168.72056564393,100197.54967464843,98513.42028523446,100295.07614184452
98795.7751201522,100324.87488679941,99857.75011175933,99743.39009254472,100524.39938186148,100359.72045898436,99835.61802572192,100413.63533670966,100434.85309688444,100254.77117690451,100413.63630789223,100259.47243493766,97824.16981929675,100275.49205753766,99497.8143976882,100472.69410449138,100159.056071343,100337.03450523627,99852.9368172104,98629.98811040186,99049.67747749742,100080.0020818477,98388.41955570242,100175.48615887437
98700.63405188447,100194.84578042,99724.44257878805,99633.58941453464,100401.39045103337,100239.5017845517,99709.33216897766,100289.8340001594,100308.11828509852,100120.86528099868,100288.81085849383,100124.36221581405,97705.5865144841,100157.13299329938,99363.00441917557,100350.0605913499,100039.74484099845,100212.27340060168,99724.83144177748,98504.70402202778,98941.15354750292,99949.30127159985,98291.2434568857,100048.13865184582
98647.37538712796,100164.57056140539,99692.13048659252,99600.32210501215,100381.46881413208,100223.73110816593,99689.49685700312,100264.29031127866,100280.65307982497,100083.04696947632,100259.52787288175,100085.54131186986,97667.09280727745,100139.89617197339,99331.99487269961,100333.77111549852,100015.99867625207,100192.04016609775,99700.5236705414,98466.76648099626,98915.82803153101,99910.66285500764,98253.38677040326,100013.34903531137
98702.77478207993,100221.35318016376,99750.51233121875,99647.20310952811,100426.58778727114,100262.88873581658,99728.24796534155,100314.26628923847,100333.76322954342,100148.30432349734,100313.0539352945,100151.6085444688,97695.67961405056,100178.83958423529,99382.31693857202,100374.44424610415,100060.80712145472,100236.76767993755,99747.70596614515,98493.30298824777,98954.18448857575,99973.7725605119,98297.22536276128,100072.1254735985
98881.85672001082,100396.52419824968,99922.31385955778,99824.42329035567,100604.58103227505,100441.31083170573,99902.83921538487,100491.73522114717,100510.52697104715,100320.61575591499,100490.08131390646,100322.53174420615,97865.02070580235,100357.8898337466,99553.21352772387,100552.49282334365,100238.57659509347,100413.8143531839,99922.27409842622,98660.04556272033,99131.57764702493,100146.55018568416,98474.60990425624,100247.40596661228
98980.6441383881,100478.6629102656,100000.45731334291,99924.41144870846,100694.10957819737,100530.4988548642,99982.06082042363,100582.79884520323,100596.99153170495,100402.97196572798,100581.42318007762,100404.64089893938,97952.17380905733,100450.80431934168,99625.23375539394,100638.1240481785,100334.116326022,100498.28672340908,100001.9662177059,98747.45600022573,99216.2067897345,100231.65216867207,98569.98874790796,100335.35871220149
98871.14699450879,100399.99785209664,99915.96976466406,99823.18164901149,100617.00074359437,100456.57213192893,99913.26666662988,100498.31919698307,100518.07901063147,100308.785277533,100494.2590301019,100305.94452030637,97869.85494567429,100369.23102344736,99541.69882719377,100570.58927347003,100242.80643743319,100427.18806308345,99927.09245017839,98656.00438066944,99143.86660432375,100132.81975727166,98479.04677168529,100244.07390368266
98782.08842699515,100205.79255879098,99722.33501211142,99685.23482681967,100431.69426930767,100272.99670991443,99710.97129013434,100317.39107550222,100327.50386619808,100124.96959421884,100313.95256057853,100124.53120364639,97651.0618076476,100196.54214100876,99346.2726714945,100376.13309166093,100075.65683942866,100230.26849002467,99727.79106613684,98439.8148013894,98968.01897840902,99955.41715513596,98345.58843030084,100062.4541340401
99063.51367915921,100494.83169118992,99998.11054350006,99984.9621313899,100739.69310325182,100583.08299037388,100004.08796391176,100620.79476506608,100625.21929629052,100399.78695252894,100613.22549782017,100391.62374322471,97950.96415806015,100505.82425072812,99604.69334141914,100684.89713741951,100381.65523673188,100533.10072749744,100016.38141475407,98719.39176336315,99275.3591013343,100233.39466683667,98637.10492820916,100352.35224987614
98996.18907985702,100492.00453439237,100003.25885010354,99936.68902039829,100722.80621769097,100567.02474539621,100022.3737226838,100599.37121717882,100614.93984158458,100387.54418534378,100591.26015167304,100379.32035258021,97990.309312945,100479.96073292206,99631.75280973305,100679.92443834404,100349.93546925504,100532.48816446583,100027.87643468741,98772.05545445504,99261.03342785231,100213.69164799294,98598.07328338882,100333.77351088716
98931.42522821132,100404.56995181635,99916.70569266773,99859.28264157569,100634.32331799837,100477.75101725261,99934.85964346172,100514.3059189417,100528.24637358525,100304.8254960237,100507.62132195679,100298.64015135674,97920.38413587958,100393.24759221177,99542.73108380278,100589.00825789686,100267.42412459872,100443.22992287274,99939.6188103294,98702.0681607797,99179.0209944084,100131.85106161916,98526.66674230353,100250.77555088511
98896.94594813992,100364.4568043747,99868.02567469764,99824.08517033303,100601.15096308803,100445.81874883741,99902.27343965186,100477.44657007653,100491.3135615958,100246.77699564701,100468.28567725443,100232.30523537875,97890.24081353376,100360.11801237143,99492.9222002636,100558.62798329299,100230.91374594858,100410.89054511416,99903.29748114223,98667.16246650943,99148.42914120574,100073.85040446575,98496.29030272867,100204.70361708493
98700.71954549167,100044.22686175538,99523.340583093,99589.71182223446,100329.52722385683,100189.43973214284,99606.95396369179,100196.55605582606,100192.24628952025,99889.26732157955,100177.72354597843,99857.44891204943,97641.35550342135,100112.00877348344,99126.72597618178,100289.59053084285,99973.47626830311,100126.06721248249,99593.58103676121,98381.81217341889,98924.55233483086,99727.75803440328,98301.18124928861,99889.45721595474
