BL,BZ,CSDK,DD,DLYK,DTJ,DTMDQ,GL,GT,HQL,JFDQ,JM,LC,LHS,NW,PZ,STSS,WZ,XD,YA,YG,ZHDQ,ZJK,ZSGMT
1.87,1.65,2.956666667,1.796666667,2.35,2.613333333,1.38,1.363333333,1.135,2.71,1.846666667,3.453333333,2.1618983334800004,3.28,2.896666667,2.0759018889200003,2.796666667,1.413333333,2.156666667,2.8,3.84,1.766666667,1.306666667,1.63
1.8183333335,1.7016666665,2.815,1.605,2.1116666665,2.45,1.5233333335,1.353333333,1.1625,2.6533333335,1.7566666670000002,3.635,2.1618983334800004,3.24,2.82,2.0759018889200003,2.7300000000000004,1.3066666665,1.9666666670000001,2.3866666665,3.6183333335,1.825,1.2733333335,1.66
1.766666667,1.753333333,2.673333333,1.413333333,1.873333333,2.286666667,1.666666667,1.343333333,1.19,2.596666667,1.666666667,3.816666667,2.1618983334800004,3.2,2.743333333,2.0759018889200003,2.663333333,1.2,1.776666667,1.973333333,3.396666667,1.883333333,1.24,1.69
1.7603333336,1.6576666664,2.6286666664,1.4136666664,1.7276666664,2.3203333336,1.5923333336,1.2776666663999998,1.0999999999999999,2.5483333336,1.6213333336,3.7963333336,2.1618983334800004,3.148,2.7736666664,2.0759018889200003,2.6746666664000003,1.174,1.6843333336,1.8386666664,3.2263333336,1.8156666663999999,1.195,1.678
1.7540000002,1.5619999998,2.5839999998,1.4139999998,1.5819999997999998,2.3540000002,1.5180000002,1.2119999998,1.01,2.5000000002,1.5760000002,3.7760000002,2.1618983334800004,3.096,2.8039999998,2.0759018889200003,2.6859999998000004,1.148,1.5920000001999999,1.7039999998000002,3.0560000002,1.7479999998,1.15,1.666
1.7476666668,1.4663333332,2.5393333332,1.4143333332,1.4363333332,2.3876666668,1.4436666668,1.1463333331999999,0.9199999999999999,2.4516666668,1.5306666668,3.7556666668,2.1618983334800004,3.044,2.8343333332,2.0759018889200003,2.6973333332,1.122,1.4996666668,1.5693333332000001,2.8856666667999997,1.6803333332,1.105,1.654
1.7413333334,1.3706666666,2.4946666666,1.4146666666,1.2906666666,2.4213333334000002,1.3693333334,1.0806666666,0.83,2.4033333334,1.4853333334,3.7353333334,2.1618983334800004,2.992,2.8646666666,2.0759018889200003,2.7086666666,1.096,1.4073333334,1.4346666666,2.7153333334,1.6126666666,1.0599999999999998,1.642
1.735,1.275,2.45,1.415,1.145,2.455,1.295,1.015,0.74,2.355,1.44,3.715,2.1618983334800004,2.94,2.895,1.19,2.72,1.07,1.315,1.3,2.545,1.545,1.015,1.63
1.3,1.4,2.32,1.45,1.09,3.09,1.27,1.01,0.82,2.28,1.25,3.7,2.1618983334800004,2.93,2.96,1.2,2.56,1.03,1.37,1.46,2.95,1.69,1.37,1.66
1.7,1.415,2.23,1.36,13.51,2.62,1.295,1.78,1.02,1.435,1.395,2.8,2.1618983334800004,3.55,2.785,1.25,2.69,1.075,1.31,1.23,2.885,1.585,1.025,1.64
1.64,1.595,2.395,1.345,1.57,2.55,1.28,0.935,0.98,1.25,1.43,2.655,2.1618983334800004,2.765,2.575,1.16,2.805,0.99,1.305,1.225,2.91,1.6,0.995,1.685
1.6875,1.456666667,2.443333333,1.3275,1.1675,2.84,1.243333333,0.833333333,0.94,1.3625,1.333333333,3.0075,2.1618983334800004,3.1625,2.73,1.0825,2.6,1.15,1.316666667,1.075,3.3175,1.53,1.13,1.683333333
1.378333333,1.35,2.32,1.396666667,1.18,2.926666667,1.286666667,0.914,1.351666667,1.501666667,1.388333333,2.633333333,2.1618983334800004,2.918,2.615,1.146666667,2.606666667,1.058333333,1.181666667,0.978333333,3.261666667,2.918333333,1.2125,1.578333333
