BL,BZ,CSDK,DD,DLYK,DTJ,DTMDQ,GL,GT,HQL,JFDQ,JM,LC,LHS,NW,PZ,STSS,WZ,XD,YA,YG,ZHDQ,ZJK,ZSGMT
5.91,6.96,4.896666667,4.783333333,7.063333333,5.94,6.713333333,7.1,6.8,6.696666667,6.6,6.77,6.905847949999998,4.77,3.53,6.00530444452,3.8,5.573333333,6.72,6.94,4.653333333,6.56,7.013333333,6.656666667
5.859999999999999,6.93,5.231666667,4.9816666665,6.901666666500001,5.865,6.8916666665,7.086666666499999,6.3216666665000005,6.605,6.574999999999999,6.3216666665,6.905847949999998,4.801666666499999,3.26,6.00530444452,3.6266666665,6.5,6.8116666665,6.9,4.0816666665,6.59,6.9116666665,6.5783333335
5.81,6.9,5.566666667,5.18,6.74,5.79,7.07,7.073333333,5.843333333,6.513333333,6.55,5.873333333,6.905847949999998,4.833333333,2.99,6.00530444452,3.453333333,7.426666667,6.903333333,6.86,3.51,6.62,6.81,6.5
5.941999999999999,6.8790000000000004,5.6363333336,5.294,6.651,5.72,7.032,7.0186666664,5.880666666400001,6.4716666664,6.6979999999999995,5.9376666664,6.905847949999998,4.5916666664,3.2520000000000002,6.00530444452,3.4816666663999998,7.1053333336,6.9546666664,6.751,3.6689999999999996,6.766,6.811,6.407
6.074,6.8580000000000005,5.7060000001999995,5.4079999999999995,6.562,5.65,6.994,6.9639999997999995,5.9179999998,6.4299999998,6.846,6.0019999998,6.905847949999998,4.3499999998,3.5140000000000002,6.00530444452,3.5099999997999998,6.7840000002,7.0059999998,6.642,3.828,6.912,6.812,6.314
6.2059999999999995,6.837,5.7756666668,5.522,6.473,5.58,6.956,6.9093333332,5.9553333332000005,6.3883333332,6.994,6.0663333332,6.905847949999998,4.1083333332,3.776,6.00530444452,3.5383333332,6.462666666800001,7.0573333332,6.533,3.9869999999999997,7.058,6.813,6.221
6.338,6.816,5.8453333334,5.636,6.384,5.510000000000001,6.918,6.8546666666,5.9926666666,6.3466666666,7.142,6.1306666666,6.905847949999998,3.8666666666,4.038,6.00530444452,3.5666666666,6.1413333334,7.1086666666000005,6.424,4.146,7.204,6.814,6.128
6.47,6.795,5.915,5.75,6.295,5.44,6.88,6.8,6.03,6.305,7.29,6.195,6.905847949999998,3.625,4.3,5.96,3.595,5.82,7.16,6.315,4.305,7.35,6.815,6.035
6.63,7.08,6.35,5.96,6.43,5.97,7.01,7.12,5.3,6.36,7.34,6.79,6.905847949999998,4.9,4.36,5.93,4.24,6.48,7.34,6.29,4.97,7.21,6.43,6.07
6.48,6.905,5.83,6.35,5.795,5.7,6.95,7.355,5.24,6.36,7.165,6.64,6.905847949999998,4.29,5.145,6.02,3.62,6.175,7.325,6.17,3.56,7.365,6.815,5.945
