BL,BZ,CSDK,DD,DLYK,DTJ,DTMDQ,GL,GT,HQL,JFDQ,JM,LC,LHS,NW,PZ,STSS,WZ,XD,YA,YG,ZHDQ,ZJK,ZSGMT
0.097,0.025,0.162666667,0.051666667,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.23671188892000003,0.025,0.158333333,0.14865966678,0.025,0.025,0.025,0.025,0.139666667,0.025,0.025,0.115666667
0.06783333350000001,0.025,0.200166667,0.046833333500000005,0.1541666665,0.025,0.025,0.025,0.0276666665,0.025,0.025,0.025,0.23671188892000003,0.025,0.14300000000000002,0.14865966678,0.025,0.064,0.025,0.025,0.2178333335,0.025,0.025,0.140666667
0.038666667,0.025,0.237666667,0.042,0.283333333,0.025,0.025,0.025,0.030333333,0.025,0.025,0.025,0.23671188892000003,0.025,0.127666667,0.14865966678,0.025,0.103,0.025,0.025,0.296,0.025,0.025,0.165666667
0.0365333336,0.025,0.2191333336,0.0425,0.23166666640000003,0.025,0.025,0.025,0.029266666400000002,0.0258,0.025,0.025,0.23671188892000003,0.025,0.1071333336,0.14865966678,0.025,0.08739999999999999,0.025,0.025,0.2526,0.025,0.025,0.1671333336
0.0344000002,0.025,0.2006000002,0.043000000000000003,0.17999999980000003,0.025,0.025,0.025,0.0281999998,0.026600000000000002,0.025,0.025,0.23671188892000003,0.025,0.0866000002,0.14865966678,0.025,0.0718,0.025,0.025,0.2092,0.025,0.025,0.1686000002
0.0322666668,0.025,0.1820666668,0.0435,0.1283333332,0.025,0.025,0.025,0.0271333332,0.0274,0.025,0.025,0.23671188892000003,0.025,0.0660666668,0.14865966678,0.025,0.0562,0.025,0.025,0.1658,0.025,0.025,0.1700666668
0.0301333334,0.025,0.16353333339999998,0.044,0.07666666660000002,0.025,0.025,0.025,0.026066666600000003,0.028200000000000003,0.025,0.025,0.23671188892000003,0.025,0.0455333334,0.14865966678,0.025,0.040600000000000004,0.025,0.025,0.12240000000000001,0.025,0.025,0.1715333334
0.028,0.025,0.145,0.0445,0.025,0.025,0.025,0.025,0.025,0.029,0.025,0.025,0.23671188892000003,0.025,0.025,0.048,0.025,0.025,0.025,0.025,0.079,0.025,0.025,0.173
0.085,0.025,0.138,0.095,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.23671188892000003,0.025,0.025,0.052,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.147
0.0605,0.025,0.1205,0.059,0.089,0.025,0.025,0.025,0.025,0.0255,0.025,0.025,0.23671188892000003,0.025,0.025,0.0315,0.025,0.025,0.025,0.025,0.1785,0.025,0.025,0.116
0.0485,0.025,0.151,0.063,0.14,0.025,0.025,0.025,0.027000000000000003,0.025,0.025,0.025,0.23671188892000003,0.025,0.025,0.0585,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.0945
0.05175,0.025,0.160666667,0.06075,0.05075,0.025,0.025,0.025,0.029,0.025,0.025,0.025,0.23671188892000003,0.025,0.029333333,0.0375,0.025,0.02775,0.025,0.025,0.03725,0.025,0.02975,0.167666667
0.044166667,0.025,0.151333333,0.0545,0.0475,0.025,0.025,0.025,0.034333333,0.025,0.025,0.025,0.23671188892000003,0.025,0.025,0.026166667,0.025,0.025,0.025,0.025,0.0275,0.025,0.0305,0.1025
0.0455,0.025,0.1728,0.0504,0.0745,0.025,0.034,0.025,0.031333333,0.025,0.025,0.025,0.23671188892000003,0.280333333,0.025,0.0265,0.025,0.025,0.025,0.025,0.0285,0.025,0.026666667,0.084666667
0.0568,0.025,0.1948,0.04675,0.08,0.025,0.0264,0.025,0.04,0.0288,0.025,0.0294,0.23671188892000003,0.025,0.025,0.0772,0.025,0.025,0.025,0.025,0.04,0.025,0.0278,0.0614
0.076333333,0.025,0.193333333,0.0396,0.1405,0.025,0.025,0.025,0.025,0.025,0.026333333,0.025,0.23671188892000003,0.025,0.029333333,0.0465,0.025,0.025,0.025,0.025,0.051833333,0.025,0.029166667,0.059333333
0.091833333,0.025,0.3445,0.0436,0.117,0.025,0.030166667,0.025,0.027,0.025,0.026833333,0.290666667,0.23671188892000003,0.025,0.039,0.089,0.025,0.031333333,0.025,0.025,0.066166667,0.028,0.034666667,0.084333333
0.0925,0.025,0.2,0.0485,0.117,0.025,0.025,0.0265,0.0295,0.025,0.025,0.8195,0.23671188892000003,0.025,0.0465,0.056,0.025,0.025,0.025,0.025,0.0705,0.025,0.051,0.1045
0.09197916666666667,0.025,0.20190625,0.04832312924489796,0.11564795918367347,0.025,0.02530952381632653,0.026484375,0.029493197285714284,0.025,0.025,0.8044931972857143,0.23671188892000003,0.026270833333333334,0.04627604166666666,0.05963265306122449,0.025856122448979592,0.025,0.025,0.025,0.07002604166666666,0.025333333326530615,0.05046938775510204,0.10602721087755101
