BL,BZ,CSDK,DD,DLYK,DTJ,DTMDQ,GL,GT,HQL,JFDQ,JM,LC,LHS,NW,PZ,STSS,WZ,XD,YA,YG,ZHDQ,ZJK,ZSGMT
2.516666667,1.866666667,2.103333333,2.06,2.76,2.823333333,1.916666667,2.22,2.615,1.926666667,1.963333333,3.126666667,2.5468248889199994,2.863333333,1.776666667,2.885945333380001,1.5,4.936666667,1.933333333,3.226666667,2.756666667,1.86,1.523333333,1.963333333
2.525,1.8816666670000002,2.1383333330000003,1.9633333335,2.3833333335,2.673333333,1.9383333335000001,2.1983333335,2.7908333335,1.9866666670000002,1.988333333,3.3033333335,2.5468248889199994,2.8449999999999998,1.5983333334999998,2.885945333380001,1.475,3.3533333335,1.9316666665,3.0833333334999997,2.865,1.885,1.473333333,1.9783333330000001
2.533333333,1.896666667,2.173333333,1.866666667,2.006666667,2.523333333,1.96,2.176666667,2.966666667,2.046666667,2.013333333,3.48,2.5468248889199994,2.826666667,1.42,2.885945333380001,1.45,1.77,1.93,2.94,2.973333333,1.91,1.423333333,1.993333333
2.4166666664,1.9193333336,2.1746666664,1.8083333336,1.9683333336000002,2.5336666664000003,1.9809999999999999,2.1343333336,2.8353333336,2.0293333336000003,2.0296666664,3.425,2.5468248889199994,2.8673333336,1.525,2.885945333380001,1.501,1.812,1.8619999999999999,2.819,2.8726666664,1.93,1.3566666664,2.0056666664000002
2.2999999998,1.9420000002,2.1759999998,1.7500000002,1.9300000002000002,2.5439999998,2.002,2.0920000002,2.7040000002,2.0120000002,2.0459999998,3.37,2.5468248889199994,2.9080000002,1.63,2.885945333380001,1.552,1.854,1.794,2.698,2.7719999998,1.95,1.2899999998,2.0179999998
2.1833333332,1.9646666668,2.1773333332,1.6916666668,1.8916666668,2.5543333332000002,2.023,2.0496666668000003,2.5726666668,1.9946666668000002,2.0623333332000002,3.315,2.5468248889199994,2.9486666668,1.7349999999999999,2.885945333380001,1.603,1.896,1.726,2.577,2.6713333331999998,1.9699999999999998,1.2233333332,2.0303333332
2.0666666665999998,1.9873333333999998,2.1786666666000003,1.6333333334,1.8533333334,2.5646666666,2.044,2.0073333334,2.4413333334000002,1.9773333334,2.0786666666,3.2600000000000002,2.5468248889199994,2.9893333334,1.84,2.885945333380001,1.6540000000000001,1.938,1.658,2.456,2.5706666666,1.9899999999999998,1.1566666666,2.0426666666
1.95,2.01,2.18,1.575,1.815,2.575,2.065,1.965,2.31,1.96,2.095,3.205,2.5468248889199994,3.03,1.945,1.945,1.705,1.98,1.59,2.335,2.47,2.01,1.09,2.055
1.93,1.97,2.15,1.78,1.92,3.04,2.1,2.05,2.69,2.0,2.13,3.12,2.5468248889199994,3.0,1.86,1.93,1.68,2.0,1.68,2.37,2.7,2.06,1.55,2.21
1.695,1.8,2.135,1.535,2.02,2.635,2.145,2.51,2.59,1.89,2.11,2.745,2.5468248889199994,3.16,1.88,1.945,1.765,1.945,1.675,2.195,2.805,1.985,1.03,2.16
