BL,BZ,CSDK,DD,DLYK,DTJ,DTMDQ,GL,GT,HQL,JFDQ,JM,LC,LHS,NW,PZ,STSS,WZ,XD,YA,YG,ZHDQ,ZJK,ZSGMT
0.078666667,0.063333333,0.117333333,0.080333333,0.053666667,0.077,0.067,0.051,0.047,0.061666667,0.072,0.068333333,0.08359716672,0.085,0.116,0.08974411101999998,0.089,0.045,0.098,0.065,0.126333333,0.058333333,0.045,0.092
0.074,0.061833333000000004,0.126333333,0.071333333,0.047666666999999996,0.0736666665,0.07133333350000001,0.0473333335,0.0551666665,0.0643333335,0.0666666665,0.0781666665,0.08359716672,0.086,0.111,0.08974411101999998,0.0923333335,0.0343333335,0.0848333335,0.0608333335,0.127333333,0.059333333,0.0401666665,0.08816666649999999
0.069333333,0.060333333,0.135333333,0.062333333,0.041666667,0.070333333,0.075666667,0.043666667,0.063333333,0.067,0.061333333,0.088,0.08359716672,0.087,0.106,0.08974411101999998,0.095666667,0.023666667,0.071666667,0.056666667,0.128333333,0.060333333,0.035333333,0.084333333
0.0649666664,0.059166666400000005,0.1274666664,0.059566666399999996,0.039233333599999996,0.0730666664,0.0742333336,0.0400333336,0.05776666640000001,0.0651,0.060266666399999995,0.089,0.08359716672,0.08789999999999999,0.1038,0.08974411101999998,0.0918333336,0.0262333336,0.0671333336,0.0546333336,0.12376666639999999,0.0585666664,0.0332666664,0.0823666664
0.0605999998,0.0579999998,0.1195999998,0.0567999998,0.036800000199999995,0.0757999998,0.0728000002,0.0364000002,0.0521999998,0.0632,0.0591999998,0.09,0.08359716672,0.08879999999999999,0.1016,0.08974411101999998,0.0880000002,0.0288000002,0.0626000002,0.0526000002,0.1191999998,0.0567999998,0.031199999800000003,0.0803999998
0.0562333332,0.0568333332,0.1117333332,0.0540333332,0.0343666668,0.0785333332,0.0713666668,0.0327666668,0.0466333332,0.06130000000000001,0.0581333332,0.091,0.08359716672,0.0897,0.0994,0.08974411101999998,0.0841666668,0.0313666668,0.0580666668,0.0505666668,0.11463333319999999,0.0550333332,0.0291333332,0.0784333332
0.0518666666,0.0556666666,0.1038666666,0.0512666666,0.0319333334,0.08126666660000001,0.0699333334,0.0291333334,0.041066666599999996,0.0594,0.0570666666,0.092,0.08359716672,0.0906,0.0972,0.08974411101999998,0.0803333334,0.0339333334,0.0535333334,0.0485333334,0.1100666666,0.0532666666,0.0270666666,0.0764666666
0.0475,0.0545,0.096,0.0485,0.0295,0.084,0.0685,0.0255,0.0355,0.0575,0.056,0.093,0.08359716672,0.0915,0.095,0.0505,0.0765,0.0365,0.049,0.0465,0.1055,0.0515,0.025,0.0745
0.048,0.045,0.095,0.059,0.028,0.103,0.063,0.047,0.072,0.055,0.048,0.091,0.08359716672,0.092,0.089,0.041,0.07,0.032,0.046,0.047,0.122,0.059,0.033,0.064
0.0445,0.043,0.09,0.043,0.0415,0.091,0.0695,0.0805,0.05,0.048,0.0505,0.0795,0.08359716672,0.106,0.092,0.0435,0.079,0.0345,0.0425,0.0455,0.1255,0.0515,0.023,0.078
0.0395,0.0455,0.1025,0.0405,0.0525,0.0845,0.066,0.026,0.046625,0.048,0.0515,0.074,0.08359716672,0.0895,0.0815,0.042,0.071,0.033,0.0415,0.0395,0.1095,0.06,0.022,0.069
0.0405,0.027333333,0.110333333,0.0415,0.03425,0.0955,0.059666667,0.024666667,0.04325,0.04475,0.044333333,0.0765,0.08359716672,0.09625,0.080333333,0.03975,0.066333333,0.039,0.041333333,0.0325,0.1255,0.050333333,0.02475,0.066666667
0.038833333,0.038333333,0.105666667,0.0415,0.035666667,0.080666667,0.056166667,0.0232,0.0745,0.045166667,0.048166667,0.070166667,0.08359716672,0.072333333,0.0755,0.039,0.061333333,0.029333333,0.037166667,0.030333333,0.109166667,0.116833333,0.019166667,0.061833333
0.036,0.038833333,0.112,0.04,0.018833333,0.089333333,0.058,0.023166667,0.050666667,0.048166667,0.045166667,0.0515,0.08359716672,0.040333333,0.071,0.038833333,0.057833333,0.026166667,0.033666667,0.029666667,0.103333333,0.127,0.025833333,0.060833333
0.034,0.0396,0.1124,0.03975,0.0416,0.089,0.0592,0.0204,0.058,0.0494,0.0446,0.0544,0.08359716672,0.0998,0.0706,0.0418,0.058,0.024,0.0296,0.0286,0.1046,0.0816,0.026,0.059
0.034666667,0.033333333,0.109,0.038,0.049166667,0.096833333,0.057666667,0.019333333,0.062166667,0.048333333,0.042166667,0.075833333,0.08359716672,0.105833333,0.069833333,0.038166667,0.057333333,0.023666667,0.027833333,0.026333333,0.1075,0.098,0.025,0.056333333
