FID,P_nm,Lon,Lat
0,BL,114.2492,23.15
1,BZ,113.2852,22.3632
2,CSDK,113.0833,22.2248
3,DD,113.6697,23.1272
4,DLYK,113.4352,22.9169
5,DTJ,113.5051,23.0487
6,JTMDQ,113.2646,22.0851
7,GL,112.9472,22.8378
8,GT,113.4744,22.9021
9,HQL,113.5816,22.6201
10,JFDQ,113.3161,22.1881
11,JM,113.6523,22.6364
12,LC,112.8019,23.1888
13,LHS,113.5226,23.0046
14,NW,112.8583,22.4583
15,PZ,113.2123,23.0421
16,STSS,113.5993,22.9216
17,WZ,113.2642,22.8975
18,XD,113.0419,22.8109
19,YA,112.6665,23.1752
20,YG,113.1827,23.2216
21,ZHDQ,113.4092,22.1865
22,ZJK,113.7508,23.1376
23,ZSGMT,113.4836,22.5731
