source,target,weight
19,7,0.02116225485142087
7,18,0.09846306931907219
18,1,0.017954243968743552
18,2,0.015311605511372225
18,10,0.013375798919307442
10,6,0.07922798791850642
1,21,0.04268488198610956
14,2,0.028752428342783694
18,23,0.019060790329809202
18,9,0.016868161098137106
18,11,0.015257189715262905
17,9,0.02230142503718376
17,11,0.020301290020690043
12,7,0.023942673419657133
12,17,0.017442628124558976
12,15,0.022207829911170845
12,20,0.02558331601134838
20,5,0.02620354792694137
5,13,0.1915531633190034
15,5,0.03336828752569935
17,8,0.04643143961604061
0,3,0.016861106742048444
0,16,0.014047412836327045
22,3,0.11942998327584688
3,13,0.04924727519810024
