Cropland,Impervious,Forest,Other,Light,Pop,Pgdp,aet_mm_syr,ele_mt_smx,ele_mt_smx,ari_ix_sav,cly_pc_sav,cmi_ix_syr,crp_pc_sse,dis_m3_pmn,dis_m3_pmx,dis_m3_pyr,dor_pc_pva,ele_mt_sav,ele_mt_smn,ele_mt_smx,ele_mt_smx,ero_kh_sav,for_pc_sse,gwt_cm_sav,ire_pc_sse,kar_pc_sse,lit_cl_smj,pac_pc_sse,pet_mm_syr,pre_mm_syr,pst_pc_sse,ria_ha_usu,riv_tc_usu,run_mm_syr,sgr_dk_sav,slp_dg_sav,slt_pc_sav,snd_pc_sav,soc_th_sav,swc_pc_syr,tmp_dc_smn,tmp_dc_smx,tmp_dc_syr
0.290994776,0.06634892,0.61864346,0.024012844,23.69113411,4397838.5,29828.71386,1121.25626,730.084168,730.084168,162.6546698,24.61817265,38.15333642,18.05665898,186.391,1677.591,783.645,696,161.4741173,27.83346877,730.084168,730.084168,8086.719299,51.78049566,281.4465772,13.399451,0,3,3.635292312,1232.011927,1995.049738,5.539039281,11167.644,193342.781,1098.738341,85.52894074,78.67865623,35.4775935,40.01774916,20.24495966,87.9967998,135.4877471,279.4791754,215.9923162
0.432326576,0.348469525,0.07162739,0.147576509,57.06216216,1795829.5,26786.76786,1071.753982,139.0454963,139.0454963,122.5608866,24.30471734,18.28458202,49.60280396,3024.58,18292.503,9200.894,102,7.66922665,-4.502489112,139.0454963,139.0454963,9983.244353,2.075517248,43.06951369,26.95451373,0,1,9.271523092,1249.622264,1530.213389,0.173027919,210086.603,7192638.452,1068.233825,5.382928688,12.42346237,35.83643338,39.55206604,15.18088887,82.42081824,145.9488882,289.2274011,226.1107565
0.466996522,0.145530647,0.309154418,0.078318412,41.17265943,942724.25,25053,1009.293114,501.1998113,501.1998113,118.140373,22.13428399,14.88867753,36.3637054,42.616,437.589,218.645,79,59.52620312,-1.727911904,501.1998113,501.1998113,8451.686243,24.16700406,178.9741697,23.43516466,0,9,5.369540846,1216.727089,1433.997381,3.52530805,2035.508,21181.097,1144.328529,43.04089606,51.09336825,34.28771481,44.02280962,18.23675869,79.93480637,144.8664527,286.535604,223.9837863
0.322528201,0.294769393,0.339935364,0.042767042,49.56464646,8926433.25,34171.74,1158.206338,533.8590336,533.8590336,149.4467225,25.25555411,32.61071537,27.78680693,248.914,2236.097,1036.553,542,80.09697823,5.49521122,533.8590336,533.8590336,11323.99459,22.84509913,165.8274392,20.04316496,0,9,3.461898893,1284.558579,1914.124529,5.510234789,14869.713,273850.469,1071.444401,41.46597131,49.69160016,35.87822783,38.90913407,15.83756972,86.86661222,139.8940277,285.3493364,221.2346426
0.418279998,0.471974485,0.033930556,0.07581496,62.51445087,864942,49118.5,1147,152,152,129,24,23,46,1.738,13.797,6.782,0,5,-4,152,152,11839,3,29,48,0,1,2,1298,1675,0,44.352,156.046,979,8,10,36,39,11,84,142,289,224
0.266931402,0.53825613,0.11407395,0.080738518,62.79708738,6467188,49118.5,1165.90369,194.5671429,194.5671429,132.3197002,24.08653153,24.14460864,35.81770785,39.01,355.187,161.005,163,21.08033346,-4.401573606,194.5671429,194.5671429,6583.809318,1.666035012,77.47915234,23.4332204,0,3,0,1307.917059,1727.338266,0,1706.261,18867.507,975.6183755,16.65154722,21.15240222,35.88814426,40.02532421,13.12257395,85.23050249,139.4082845,289.0541499,222.9674203
0.388505492,0.203868742,0.346034267,0.061591498,37.16199882,2714999.25,36650.57692,1122.825946,380.7872876,380.7872876,126.7389822,23.96678739,21.06952822,41.46257705,2998.431,17901.379,9051.467,103,53.39497378,1.528750647,380.7872876,380.7872876,10596.79318,28.40992811,153.4458032,23.07561179,0,9,2.786726819,1270.340107,1609.400613,8.780418734,205637.922,6788146,967.1545768,24.61338948,41.09586446,35.25067505,40.80790642,16.00382406,84.66771321,140.1148504,289.2338022,223.0759584
0.476419474,0.333176867,0.075856674,0.114546986,62.28693182,131375.75,49118.5,1137,230,230,132,24,24,63,1.791,14.57,7.043,0,6,-9,230,230,13361,7,60,33,0,1,0,1288,1694,0,26.708,52.562,1004,8,16,37,40,12,84,144,289,225
0.381886376,0.436997582,0.007988733,0.173127308,60.94309701,1554587.25,33284.33333,1111.236775,47.38130099,47.38130099,127.1456454,23.8011202,20.87394311,63.16557407,7.815,63.971,31.597,0,0.895673615,-5.577288287,47.38130099,47.38130099,7372.013896,1.768178839,7.730872644,22.81648243,0,1,0,1274.346019,1616.078434,0,168.575,646.961,1005.590071,4.645140788,3.355837144,35.56885566,40.98144741,16.06653302,83.80112033,144.8967148,289.3514233,225.5644897
0.48328241,0.147348542,0.234083752,0.135285297,39.93791946,156231,51899.5,1051.867633,510.4685058,510.4685058,133.397104,24.73526444,24.26473587,39.5884161,5.174,47.847,22.872,0,31.87487313,-3.000000101,510.4685058,510.4685058,12155.65815,18.94105694,138.0806651,39.67632148,0,9,0,1205.742505,1600.243017,0,91.194,267.881,1200.985517,5.801448757,39.07342497,35.93381608,39.33091948,16.66908173,84.13236793,148.1985517,288,226.0661839
0.545019619,0.232764288,0.011090643,0.211125449,57.22490347,113241,49118.5,1122,80,80,133,22,25,70,2.516,20.972,10.188,0,-1,-6,80,80,5889,6,8,24,0,1,0,1276,1695,0,28.344,42.288,1030,10,3,36,42,30,84,146,289,226
