BL,BZ,CSDK,DD,DLYK,DTJ,GL,GT,HQL,JFDQ,JM,JTMDQ,LC,LHS,NW,PZ,STSS,WZ,XD,YA,YG,ZHDQ,ZJK,ZSGMT
-12.040549992585008,-9.357513652877227,-8.964286515751184,-12.55770776337216,-9.657497563345629,-8.80781038735479,-8.72996723969274,-9.950155226087206,-9.146748584498125,-9.6977598101089,-10.02864290240514,-10.064945554228942,-9.283159148064005,-9.291763474897268,-8.6560972851218,-8.492150376650208,-9.965377016882586,-8.684281734147035,-8.631969090767647,-9.190128831033174,-9.78766163938196,-10.379496954568582,-15.885286748100201,-10.14256730680558
-19.6819458153435,-14.1481124967876,-13.454781634655,-20.339472102113902,-15.446130248124101,-13.9364020072075,-13.9243516217342,-15.823848055459301,-14.364590090152799,-13.6565341358829,-15.9377423237454,-13.4226223020124,-14.5626192120745,-14.699119978328397,-12.9598076877016,-13.5170999015105,-15.567912616707101,-13.8171630276527,-13.4476543094039,-14.4471749341301,-15.8307507358955,-14.9475061730117,-27.0719875433779,-15.7332138864138
-33.017337254277905,-25.1630860510953,-24.0144435489298,-33.9652061064864,-26.549611490935,-24.0180968285129,-24.8007949149114,-26.8244674941596,-24.792719401697,-24.3815555641142,-26.9237810368898,-23.8922323395418,-24.852901296809,-24.9985565985046,-23.6713198697779,-23.807991691098,-26.3244597681083,-24.3336906551453,-23.959656636653698,-24.7255592675509,-27.1053022881378,-26.3583727927736,-44.2011643054023,-27.0956961003064
-35.6936632560229,-27.7089530715855,-26.4472532591247,-36.8933020033844,-29.1461179698095,-26.4704104530597,-27.425882668344002,-29.3132742239081,-27.1574171338572,-27.053641919231097,-29.3372050221425,-26.9991004993096,-26.997820648393798,-27.378449740793698,-25.9738684945709,-26.2317287921365,-28.7093965643829,-26.8113749558548,-26.531058165656297,-27.0381500913979,-29.606020490964,-29.1031531129807,-48.0978443091888,-29.5832089058204
-35.7800817861139,-27.9183228443126,-26.714556986518602,-37.007274693300296,-29.3101544871659,-26.7506494617137,-27.6154429674355,-29.4963140307149,-27.3482229816486,-27.6696093770735,-29.5105552895582,-28.238622090785,-27.087047664399,-27.6162168738296,-26.0775712584704,-26.379923575863998,-28.897337312286698,-26.9737166627634,-26.779963063077,-27.2210793124787,-29.748908257611,-29.666049985924,-48.2135530869258,-29.7784902743504
-35.7878566381711,-27.966928645984098,-26.798602216249797,-37.0041952455626,-29.3284820872486,-26.8463724486146,-27.634158266657302,-29.539785524074798,-27.391313547505,-27.8812329293196,-29.545466705627803,-28.878309869664,-27.0681368550418,-27.7054013768842,-26.0875914981833,-26.3742595274638,-28.9626789199136,-26.980393875140102,-26.845070630756602,-27.237441727463498,-29.7540075519154,-29.8287669462509,-48.1924094370745,-29.7701590385363
-12.996808006399844,-9.60147964576132,-9.301267413391624,-13.617096796906116,-10.036825449431774,-9.237976235713719,-9.538822145673088,-10.191909130255393,-9.370931279893288,-9.904788882630193,-10.203322537950603,-10.355639129471134,-9.942305594275584,-9.614221794062596,-9.03900839930671,-9.024783408884701,-10.087661786540114,-9.193500747796346,-9.151228460062857,-9.983625460609982,-10.838243020198089,-10.64275191637607,-19.5558721877943,-10.372928235573871
-18.1538380236192,-14.1360373656277,-13.678303195729999,-18.7279443015899,-14.4039907862366,-13.3474462007661,-13.912126609276001,-14.8045372096479,-13.739331847529,-14.844070181229299,-14.864485452634199,-14.8867988316798,-15.645090054815501,-13.8308861074728,-12.664015877827401,-13.1231102454695,-14.462681960167401,-13.324999275564501,-13.112407343531899,-15.4070766685921,-15.600523716602499,-15.955019992432199,-26.651670912251298,-15.352395982460902
-30.6054530800238,-24.9657230680485,-24.560871071849398,-31.762127787126403,-25.1093964910961,-23.4403283279138,-24.077107457853902,-25.7923722649155,-24.069455399879402,-25.797778243878298,-25.8099324377091,-25.737384816819,-26.2479893268995,-24.172616431662902,-22.8346048465539,-22.7966556056572,-25.0982301331022,-23.1657641090645,-23.4233054063533,-25.4723881174263,-26.8573472958779,-27.4503918381859,-44.3033158053881,-26.5515152396017
-33.5704542050666,-27.6485652231377,-27.3485941698575,-35.0687846127541,-28.0271879200713,-26.4441203783331,-26.626435421105498,-28.8462222010392,-26.8373126199335,-28.3696530189024,-28.6487749007953,-28.7934070337378,-28.653277561179802,-27.141421703710698,-25.0930826607144,-25.2982825755402,-28.0042783921364,-25.7510114221439,-26.4627540151419,-27.7506394033912,-29.614717844793397,-30.1145215947577,-49.488313408322696,-29.1271955176667
