BL,BZ,CSDK,DD,DLYK,DTJ,GL,GT,HQL,JFDQ,JM,JTMDQ,LC,LHS,NW,PZ,STSS,WZ,XD,YA,YG,ZHDQ,ZJK,ZSGMT
7009824.208275994,7288434.658735069,7064460.550179794,7173817.447349333,7251977.737064498,7143065.875732422,6822681.231826072,7651268.575044715,7404439.762244796,7512138.956022888,7758700.756878286,7539229.394773822,6499802.87648317,7242616.91461351,6596781.897069355,6920413.550692184,7463744.010094319,7077684.764887592,6984103.083151054,6586057.699078895,6786822.293174094,7753485.87212955,6658979.165018933,7590687.889289509
11373221.889168035,11646902.638557142,11057553.150255816,11421572.871906001,11465534.009746993,11171288.880894251,10991701.4953663,12038073.923390301,11832163.152988104,11577217.050141575,12191505.979303548,11471293.827623127,10040701.833104739,11259494.368466627,10144958.572427694,11061529.200868621,11606790.616044933,11466645.77385447,11323633.353576941,10268773.929556483,10582524.313196931,12044907.120053437,10934405.77580705,11936759.463351855
17736428.667219266,18918149.32765317,18248357.19007626,17978315.738551,18301171.272293657,17856133.1086077,17678228.477657832,19205099.154411767,19020899.067671716,19046266.28386031,19482154.91672142,18989237.69914347,15924301.009074898,17895527.854376577,17038707.0424273,17741416.082699966,18392464.166596014,18398877.531062298,18324419.20342254,16398397.59047595,16827714.71504131,19588375.23555748,16937776.62603675,19216831.964781824
18526755.09081365,19922415.695698608,19232665.44898157,18858801.083116632,19274268.34342597,18809671.41489955,18608375.741684444,20219344.667726558,20025948.58112493,20054430.11514865,20506699.001314063,19998268.940042827,16709769.19885544,18841579.495591942,17970728.353880208,18682179.23706117,19356997.96863077,19371063.15084949,19300651.95213587,17225134.740007993,17690098.01787136,20602407.37810514,17717983.428408228,20219339.375061285
18526755.09081365,19922415.695698608,19232665.44898157,18858801.083116632,19274268.34342597,18809671.41489955,18608375.741684444,20219344.667726558,20025948.58112493,20054430.11514865,20506699.001314063,19998268.940042827,16709769.19885544,18841579.495591942,17970728.353880208,18682179.23706117,19356997.96863077,19371063.15084949,19300651.95213587,17225134.740007993,17690098.01787136,20602407.37810514,17717983.428408228,20219339.375061285
18587561.80105868,19973374.19453345,19282416.7293175,18918863.4706371,19326774.118208215,18864285.52364676,18654885.232124176,20273553.960850563,20077641.97106544,20108520.770882487,20560943.649145864,20053138.779443257,16758411.970434178,18898142.070214108,18011899.291814845,18733214.941730008,19412743.655574393,19421126.857473828,19348667.142434377,17270546.839589056,17747455.06363251,20657048.89478625,17781879.52789917,20271878.622323908
7148008.524712448,7619147.107395135,7447490.1236304175,7261621.665309278,7338285.584638119,7209354.646187918,7107027.415929248,7709314.265674684,7615863.447809629,7826794.996077158,7825179.815744087,7860333.633682415,6733949.014353558,7271939.794926795,6952372.4742695,7094102.562997648,7436342.368429419,7325203.003260683,7337497.455030877,6891437.282845587,6941444.279292984,7991465.086483607,7101560.638901474,7747766.304849648
10504221.916956836,11782884.0630401,11635297.824765904,10853647.973460224,11221867.377540441,11039398.673270088,10783579.860120913,11851533.541832276,11696904.469747163,12501374.6987966,12078309.535397502,12665739.14768469,10778879.572924303,11138728.30573048,10421755.750775453,10783058.710278686,11399299.511074606,11103241.835120989,11144873.358401954,10733147.493861312,10547599.877277475,12658363.387059504,10548605.485069526,12068425.862926947
16609492.369809011,18716072.775706377,18629970.68544261,17382732.34044833,17834735.777892992,17651631.366908483,16914482.922346346,18848708.43958665,18539164.971606277,20153086.736432277,19218355.535643887,20509901.480594218,16874280.25640859,17860434.5281801,16743976.157993522,17104282.46127398,18220953.921153028,17506003.391196154,17546917.649768397,16644522.791865941,17059146.37186379,20320996.81369151,16978274.142575115,19238552.202157214
17440142.582876757,19685772.61908923,19610661.948257554,18259518.201772124,18755545.16051431,18577557.443080347,17821686.197983347,19805849.01987282,19490971.58274743,21178928.722038694,20186629.80354796,21555650.559957176,17772154.267812796,18789321.000000004,17669985.188280392,18008799.45276873,19145775.88215345,18425526.669298097,18477386.02830674,17526650.893801983,17995457.29301075,21336474.49971115,17905584.156394333,20203233.27308384
17440142.582876757,19685772.61908923,19610661.948257554,18259518.201772124,18755545.16051431,18577557.443080347,17821686.197983347,19805849.01987282,19490971.58274743,21178928.722038694,20186629.80354796,21555650.559957176,17772154.267812796,18789321.000000004,17669985.188280392,18008799.45276873,19145775.88215345,18425526.669298094,18477386.02830674,17526650.893801983,17995457.29301075,21336474.49971115,17905584.156394333,20203233.27308384
17501288.04305777,19732036.475822896,19650453.541364998,18316274.570054412,18808114.68540025,18628710.751953118,17865205.137065392,19861111.5600159,19541933.295362357,21221095.668003775,20241807.829007883,21595553.86335653,17821432.092829946,18842431.00314862,17703556.46761894,18057727.443720594,19201612.812102582,18475041.27278188,18521939.771873392,17570082.37308544,18044680.14723964,21383074.594598494,17961486.088676423,20253787.918614153
7039681.642907663,7676779.356254248,7620468.526522829,7293336.735855784,7399541.854054337,7332193.418221608,7028273.442505018,7788375.381061209,7640118.187212684,8119861.251887683,7910788.5026281215,8231558.805089,7049293.537054092,7421116.512437029,6966900.231395461,7110170.081998734,7568129.44624311,7269856.037755277,7270965.782761836,6926457.442393841,7071367.703244781,8184936.791404896,7027979.268711197,7842743.567862396
11731693.863638693,11389713.604670355,11553174.409740321,11743893.347045653,10979801.455412693,11090681.356131416,10667074.569620516,11533344.975854533,11244407.958186861,12288108.166705994,11691938.416228646,12576705.905179337,11157837.183250766,11370927.209697735,10975825.072837645,10599962.703221139,11498578.835894445,10717333.566414965,10836610.11953165,11019293.453514904,11230168.895652873,12270357.532567881,11448828.366910845,11592834.767404806
18505330.453121006,17686171.50398097,17996051.927164786,18718333.046072908,17251287.412277065,17574204.60986328,16502846.821869375,18170029.674483307,17520377.499391567,19429278.2243983,18430471.885512486,19945864.24852784,17622201.233322304,18149608.70355794,17086479.770843215,16571211.418928703,18320743.46704112,16580800.188261542,16641071.251029333,17289767.71815935,18131742.217866383,19436000.539933566,18448549.632157926,18260518.065615296
