BL,BZ,CSDK,DD,DLYK,DTJ,GL,GT,HQL,JFDQ,JM,JTMDQ,LC,LHS,NW,PZ,STSS,WZ,XD,YA,YG,ZHDQ,ZJK,ZSGMT
302.224475252518,302.9211291209368,302.4803984128597,302.87638146636414,303.1904839951189,303.01169238771706,302.32582360803065,303.14453074056513,303.0623583136023,302.3890198891654,303.0973893114208,302.0334582767854,301.02786279239433,303.05498325914823,301.9544506914076,302.9412375086682,303.06845537147666,302.87920133094144,302.5216967965055,301.553863270249,302.1362418870154,302.38348622269746,301.9843933401018,302.816954880646
304.39464248605674,304.96574206323993,304.03589416652676,304.9031801430417,305.37877990931514,305.28574657440186,304.8190191047151,305.16158254044234,305.2214051922829,303.6641792002125,305.019349863902,302.96026203719146,303.6042462701952,305.1794941227142,303.53438986725064,305.50399079600675,305.0657872713032,305.39805433928956,304.7647658763812,304.03245930623694,304.58252111273134,303.76349359354765,304.27800260098115,304.5892809534174
303.2153417071694,304.0704937138619,303.4457352390873,303.9738721244082,304.5317107081562,304.59838867187494,304.24900121215205,304.25597476807616,304.32382319126987,303.1171874729964,304.1091413610712,302.8030786698074,303.01801157111584,304.43430260146596,303.2039528869803,304.8368863351873,304.21547350816775,304.66823251271546,304.13689485236773,303.4705855622941,303.87095387624754,303.11600499453397,303.2708837934957,303.6760483829195
299.7018426126206,300.9287964894663,300.63892426846604,300.3004708729601,301.02712915073243,300.96203599657326,300.81745296567806,301.0225442968226,301.0566074934568,301.2077157910335,301.09367976646075,301.47198400558705,299.79571746702413,300.85741980910603,300.1935825598114,301.17315165616014,300.8099601894377,301.0969768548392,300.71837338159446,300.46954015972966,300.3453306959995,301.184593599563,299.9313922032369,301.0508905695357
298.50754964882117,299.60697590729507,299.42969558786524,298.9579790213268,299.5966949510357,299.36462068557734,299.2383535278276,299.69491553496107,299.71027071196175,300.520274089833,299.8370387244005,300.9689211385919,298.01058585798205,299.3139235739144,298.9003049007275,299.53150096510876,299.36703879795823,299.5646415246951,299.1426235695689,298.5502336216193,298.70845659925175,300.5074110444332,298.6380206181742,299.9888064744017
298.5388099720808,299.1268457823302,298.80104201561994,298.64777755039245,299.2670295205863,299.1669287000383,298.7423341260395,299.3202825039862,299.3222446431335,299.88332058743185,299.4195486361971,300.47517295363633,297.44628617957875,299.0248598920309,298.32258825782964,299.28541632040316,299.04500212432873,299.22045921612425,298.5900241107714,297.8313182525924,298.2200535083376,299.8824324010081,298.10425152566654,299.39442156451764
302.072783585255,302.6252773669012,302.3743594449762,302.57346977646114,302.8263185913264,302.72474854333063,302.1522784526166,302.7291809409526,302.63779114619535,302.6042095308542,302.6448006698869,302.418465142587,301.20502589620423,302.7406201014291,301.9104532049188,302.6775459361344,302.68964478968564,302.5379407191043,302.1642515366063,301.63673613088775,302.08067345021004,302.4644535644284,301.96022863982466,302.50931365974276
304.4043424325921,305.4857338115375,304.96082494672925,305.1485235314717,305.7890894417939,305.67451688221524,305.0246591473427,305.56679067930094,305.5887062563776,304.4615399953384,305.41027292660124,303.80278237320374,303.82646792913806,305.59479493878655,304.4432675015104,305.7449659194974,305.4496320309705,305.63192629351795,305.2027366508605,304.1296454435618,304.9404695086248,304.37867333088775,304.6687994745488,305.0451742472417
303.273057724414,304.41454909484196,303.78943516966666,304.1891874676895,304.9463980812001,305.013920034681,304.45670815020105,304.64311740432527,304.7084879341353,303.3409874660893,304.4890272112933,302.97142730484177,303.29860273021984,304.85363862736705,303.4862263726081,305.2206935917085,304.55016096793474,305.03642632946134,304.45340005675354,303.5073537306808,304.4381569163915,303.3243532296483,303.9388760061099,303.99600602443127
300.01399275591086,300.87401721597655,300.4779608581319,300.7686384392648,301.3088519959864,301.3160973957606,300.91809923033054,301.23168700905035,301.13903343361613,301.0721020466767,301.2283089446019,301.3597775036569,299.98208391548303,301.25112666170907,300.0346986834842,301.45845136528555,301.15901906432714,301.28764486173753,300.72249874403593,300.30677534444413,300.74533062672424,301.0733950993424,300.2662898813668,301.0289899230997
298.4409881957855,299.4092150568811,299.0766970044064,298.9502891750679,299.70231782683004,299.4958864620754,298.7174920984294,299.8336756877566,299.6813325464178,300.4406097379705,299.98510109078086,300.92714633165644,298.2977086955157,299.40601098087035,298.6593514091694,299.5367411138181,299.49973759119564,299.49909597043006,298.80592126890485,298.6663553990983,298.5890016407663,300.45700165579456,298.4211336568296,300.0550769613272
298.65115660972606,299.50144872786706,299.10384322644336,299.16268214097454,299.55459177340776,299.477931363242,299.18927507419255,299.5441952145915,299.6930459426377,299.90139780949175,299.63826466985194,300.2137245488626,298.03482019959074,299.49436114717196,298.3850492703814,299.5533424429906,299.4434662091626,299.5938362225018,299.2387004583322,298.3541752106413,298.655238195227,300.01105457837014,298.40949138701023,299.6684150091085
302.1499827094535,302.5731698045546,302.12055569282427,302.68232069077044,303.0777158337676,302.95428671155656,302.12146015836765,302.9243467600812,302.7531139173658,302.23739446700324,302.7964123088019,301.97563425427586,301.26809518593853,302.94821502339636,301.70966448180195,302.8646993329894,302.866810989865,302.68285414979044,302.1251764753953,301.48668295854077,302.11877515391,302.14634744918527,301.8124790565825,302.4736447715354
304.829533976572,304.9754567181951,304.4867803910741,305.4388753568967,305.5141297446797,305.5921999386378,304.85171414127876,305.25846994397,305.1271264781302,304.15604435379294,305.06387674479544,303.6114144090412,304.1592833939157,305.6174672796985,304.3158078357208,305.51937919641557,305.4094644864265,305.25302450501823,304.74702851574744,304.32821537877874,305.15776978845565,304.04156716940105,305.0457139965555,304.60908723442475
303.94297333619244,304.5065898615615,303.7163484482959,304.9735812925941,305.35473451649983,305.5372253826686,304.43176974358846,305.07805916766495,304.9643925986076,303.4929669638072,304.9280703340347,303.0705286634556,303.60366455281286,305.4741006558128,303.34220921863255,305.5688406412385,305.15592110323774,305.205574785229,304.29877466622906,303.78885047112504,304.95524335714583,303.53557161125127,304.5090248342834,304.3244267741261
