BL,BZ,CSDK,DD,DLYK,DTJ,GL,GT,HQL,JFDQ,JM,JTMDQ,LC,LHS,NW,PZ,STSS,WZ,XD,YA,YG,ZHDQ,ZJK,ZSGMT
99036.31293034962,100527.65808213328,100043.60109887083,99974.0970443348,100751.67772465396,100594.28076171874,100052.70289905167,100632.94506098471,100648.89940402754,100438.20794098778,100628.07588442428,100436.97981213196,98024.09149795042,100509.20754781959,99672.23470376214,100707.53132705054,100384.31291148924,100563.06876561964,100062.18558708343,98808.73716058736,99294.45332490164,100266.05091552029,98637.06040176073,100376.70118719614
98970.05893428925,100476.52266319089,100003.95668112423,99912.41149238087,100691.05430918839,100527.99480329241,99982.16551535173,100579.26172185515,100593.44268333391,100409.27429377803,100577.85769905962,100414.7916596962,97941.55282268526,100445.23405521883,99631.04576276526,100636.08794858964,100327.35984941313,100495.5307971646,100000.63835422831,98728.74666118751,99220.58974652151,100235.78225307805,98562.71654040301,100333.99553293278
98911.74256684374,100404.11324047693,99927.38310643975,99842.01205301785,100614.89775297466,100448.82763671874,99899.94163301546,100504.83130775539,100520.3683378262,100334.08347374202,100504.31955537532,100335.63938286269,97858.93510467722,100367.51606285424,99545.01958465457,100556.96558810059,100251.90577558684,100418.44938935936,99923.2567097835,98639.27913138515,99142.24502423705,100161.67845424429,98493.39354697583,100262.11990412802
99050.476579602,100543.67981057777,100062.85335837949,99984.98815540578,100762.94619468713,100601.81176757812,100054.93691514932,100645.39840955388,100661.72097987935,100457.26169570698,100640.94517647421,100455.02457926258,98004.75657601815,100517.4170094065,99691.333397851,100711.70877230931,100394.03272126033,100568.37167127433,100070.45020687241,98789.81637510534,99289.7733542724,100282.55299163237,98634.2584912194,100391.19794422342
99008.49721467914,100516.00151751688,100028.37830215573,99957.18360428404,100745.66422289767,100590.18422154018,100044.20688056329,100622.3642624702,100638.5197298371,100413.06596013744,100614.94043097076,100406.37895643737,98013.8877991648,100503.37475401451,99657.63145855562,100701.99106637939,100373.14956847444,100554.45756352434,100050.81154504951,98803.51703334233,99281.09969415815,100239.16647033866,98613.09924358234,100357.8332071468
98987.6946657255,100493.74799187876,100003.6433051498,99936.11605339707,100723.95122858125,100568.14913504463,100023.55139339421,100600.67382812501,100616.50238410122,100387.62760938975,100592.8330758254,100379.34807866035,97998.0759833382,100481.6478520545,99630.84381390025,100680.70153804179,100351.16564139332,100532.86102779892,100028.41620460465,98788.71137534558,99261.16759928188,100214.4017671776,98594.70286649099,100335.12562784717
99044.22940922796,100560.54605043572,100075.96447458127,99993.84951889508,100784.97538301017,100627.78104073659,100089.25493343636,100663.95385781003,100681.8859898932,100462.9726839016,100657.72216861037,100460.27427395609,98053.08792429561,100540.16044159321,99707.37806103803,100742.47996686121,100411.88400474246,100597.86431026901,100097.64635470277,98845.44160144182,99325.00066893165,100289.97192284084,98659.0069092221,100404.82981160117
98916.19317670396,100414.47455940428,99937.87632876227,99851.72260310949,100629.50701334704,100470.37315150668,99935.44084342214,100516.23767419765,100532.7447443086,100341.65453882654,100514.66200029771,100348.04037364495,97902.9846763033,100385.58026261415,99566.06722414232,100582.76936407157,100264.9407385114,100441.90096664101,99946.58899685972,98692.05945552429,99171.20724087449,100170.99866124622,98511.62120370114,100271.09725837936
98775.28937533607,100260.46800129258,99785.81932151392,99700.16281195825,100466.69953144444,100301.50453404017,99764.08583813175,100358.48697088634,100374.84442181585,100192.37386812764,100358.8831615473,100195.17814842079,97723.1237209796,100220.04469064862,99410.49536337327,100411.2433298272,100106.62440719054,100273.99079849196,99782.69337445316,98514.54309536221,98994.23704761545,100020.65013449597,98344.87137951636,100118.81303751635
98918.99315481145,100411.52800256698,99930.03329155204,99851.77147666257,100627.4842486261,100464.14446149553,99918.95208522916,100512.55302315185,100529.58001368986,100323.3997131607,100509.29969817674,100319.60410532655,97869.96727255867,100380.45279045972,99556.67860829581,100574.80456874322,100260.52972326726,100434.01655413376,99937.05886113612,98660.01845757628,99149.57128322877,100150.60974057624,98497.56694771227,100260.53877139851
