BL,BZ,CSDK,DD,DLYK,DTJ,GL,GT,HQL,JFDQ,JM,JTMDQ,LC,LHS,NW,PZ,STSS,WZ,XD,YA,YG,ZHDQ,ZJK,ZSGMT
0.09447952684258418,0.033967654172914155,0.21710611148444148,0.05131611072637249,0.08598339300454069,0.08326230019357105,0.055758196221937846,0.13142888031837305,0.11061692544527409,0.05273205704459811,0.14943249841665227,0.10887836792138586,0.19306896184993627,0.1393170055452865,0.10573972342511968,0.20814605570183722,0.16008212916301223,0.05109587215169626,0.03374615004794282,0.032131728511038044,0.20620934452256745,0.14325897982069946,0.05157380601732502,0.1923267725595649
0.086,0.033967654172914155,0.21710611148444148,0.043,0.025,0.025,0.055758196221937846,0.13142888031837305,0.025,0.05273205704459811,0.025,0.10887836792138586,0.19306896184993627,0.025,0.10573972342511968,0.20814605570183722,0.16008212916301223,0.025,0.03374615004794282,0.025,0.138,0.14325897982069946,0.025,0.1923267725595649
0.099,0.025,0.155,0.072,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.19306896184993627,0.025,0.151,0.20814605570183722,0.025,0.025,0.025,0.025,0.177,0.025,0.025,0.16
0.106,0.025,0.172,0.04,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.19306896184993627,0.025,0.171,0.20814605570183722,0.025,0.025,0.025,0.025,0.104,0.025,0.025,0.097
0.10482442740619902,0.025,0.161,0.04,0.025,0.025,0.025,0.02542,0.025,0.025,0.025,0.025,0.19306896184993627,0.025,0.153,0.20814605570183722,0.025,0.025853609682299546,0.025,0.025,0.10452480446927374,0.025,0.025,0.09
0.10155796411092985,0.025,0.15660520133111483,0.04,0.025,0.025,0.025,0.02656,0.025,0.025,0.025,0.025,0.19306896184993627,0.025,0.1500651738594328,0.20814605570183722,0.025,0.028443945537065057,0.025,0.025,0.10635486033519552,0.025,0.025,0.09135378201634878
0.09659099184339315,0.025,0.15268081198003328,0.04,0.025,0.025,0.025,0.02824,0.025,0.025,0.025,0.025,0.19306896184993627,0.025,0.14758545992601727,0.20814605570183722,0.025,0.03281526777609682,0.025,0.025,0.10987363128491619,0.025,0.025,0.09518233605812897
0.09031389233278955,0.025,0.14922499500831948,0.04,0.025,0.025,0.025,0.030279999999999998,0.025,0.025,0.025,0.025,0.19306896184993627,0.025,0.14552642663378546,0.20814605570183722,0.025,0.03901183661119516,0.025,0.025,0.11546458100558658,0.025,0.025,0.1011364741144414
0.08311704730831973,0.025,0.14623591347753745,0.04,0.025,0.025,0.025,0.0325,0.025,0.025,0.025,0.025,0.19306896184993627,0.025,0.14385364241676943,0.20814605570183722,0.025,0.047077912254160366,0.025,0.025,0.12351117318435753,0.025,0.025,0.10886700817438691
0.07539083849918433,0.025,0.14371173044925123,0.04,0.025,0.025,0.025,0.03472,0.025,0.025,0.025,0.025,0.19306896184993627,0.025,0.14253267570900124,0.20814605570183722,0.025,0.05705775491679274,0.025,0.025,0.1343968715083799,0.025,0.025,0.11802475022706628
0.067525647634584,0.025,0.141650608985025,0.04,0.025,0.025,0.025,0.03676000000000001,0.025,0.025,0.025,0.025,0.19306896184993627,0.025,0.14152909494451296,0.20814605570183722,0.025,0.06899562481089258,0.025,0.025,0.14850513966480447,0.025,0.025,0.12826051226158036
0.0599118564437194,0.025,0.14005071214642265,0.04,0.025,0.025,0.025,0.03844,0.025,0.025,0.025,0.025,0.19306896184993627,0.025,0.1408084685573366,0.20814605570183722,0.025,0.08293578214826021,0.025,0.025,0.16621944134078212,0.025,0.025,0.13922510626702994
0.05293984665579118,0.025,0.13891020299500834,0.04,0.025,0.025,0.025,0.039580000000000004,0.025,0.025,0.025,0.025,0.19306896184993627,0.025,0.14033636498150434,0.20814605570183722,0.025,0.09892248714069593,0.025,0.025,0.18792324022346366,0.025,0.025,0.15056934423251586
0.047,0.025,0.13822724459234612,0.04,0.025,0.025,0.025,0.04,0.025,0.025,0.025,0.025,0.19306896184993627,0.025,0.1400783526510481,0.20814605570183722,0.025,0.117,0.025,0.025,0.214,0.025,0.025,0.16194403814713895
0.042,0.025,0.138,0.042,0.276,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.19306896184993627,0.025,0.14,0.20814605570183722,0.025,0.167,0.025,0.025,0.508,0.025,0.025,0.173
0.027,0.025,0.301,0.044,0.549,0.025,0.025,0.026,0.025,0.025,0.025,0.025,0.19306896184993627,0.025,0.149,0.20814605570183722,0.025,0.025,0.025,0.025,0.166,0.025,0.025,0.186
0.02701394071097626,0.025,0.274,0.0439895444667678,0.5471737668621101,0.025,0.025,0.025996514822255932,0.02502788142195252,0.025,0.025,0.025,0.19306896184993627,0.025,0.094,0.20814605570183722,0.025,0.025,0.025,0.025,0.16025683533609003,0.025,0.025,0.138
0.027054450776989626,0.025,0.26354349244731007,0.04395916191725777,0.541866948214359,0.025,0.025,0.025986387305752593,0.025108901553979254,0.025,0.025,0.025,0.19306896184993627,0.025,0.08780988241783841,0.20814605570183722,0.025,0.025,0.025,0.025,0.1552590399096144,0.025,0.025,0.13800386769340686
0.027119562097666982,0.025,0.2535271853267153,0.043910328426749766,0.5333373652056256,0.025,0.025,0.02597010947558325,0.025239124195333962,0.025,0.025,0.025,0.19306896184993627,0.025,0.08199621442424636,0.20814605570183722,0.025,0.025,0.025,0.025,0.1509524078817266,0.025,0.025,0.13801763609889414
0.027207306572635204,0.025,0.24394574676727906,0.0438445200705236,0.5218428389847883,0.025,0.025,0.025948173356841197,0.02541461314527041,0.025,0.025,0.025,0.19306896184993627,0.025,0.0765474127890441,0.20814605570183722,0.025,0.025,0.025,0.025,0.14728273341358017,0.025,0.025,0.13804455320436176
0.027315716101521177,0.025,0.23479384489806457,0.04376321292385911,0.5076411907007258,0.025,0.025,0.025921070974619705,0.025631432203042356,0.025,0.025,0.025,0.19306896184993627,0.025,0.07145189428205198,0.20814605570183722,0.025,0.025,0.025,0.025,0.1441958106663287,0.025,0.025,0.1380878669977098
0.02744282258395178,0.025,0.22606614784813517,0.043667883062036165,0.4909902415023166,0.025,0.025,0.025889294354012056,0.025885645167903565,0.025,0.025,0.025,0.19306896184993627,0.025,0.06669807567309036,0.20814605570183722,0.025,0.025,0.025,0.025,0.1416374338011257,0.025,0.025,0.13815082546683818
0.0275866579195539,0.025,0.2177573237465542,0.043560006560334576,0.47214781253843946,0.025,0.025,0.025853335520111525,0.026173315839107796,0.025,0.025,0.025,0.19306896184993627,0.025,0.062274373731979527,0.20814605570183722,0.025,0.025,0.025,0.025,0.13955339697912478,0.025,0.025,0.13823667659964692
0.027745254007954405,0.025,0.209862040722385,0.04344105949403419,0.45137172495797284,0.025,0.025,0.0258136864980114,0.026490508015908815,0.025,0.025,0.025,0.19306896184993627,0.025,0.05816920522853982,0.20814605570183722,0.025,0.025,0.025,0.025,0.13788949436147943,0.025,0.025,0.13834866838403598
0.02791664274878019,0.025,0.20237496690469092,0.043312517938414855,0.42891979990979545,0.025,0.025,0.025770839312804952,0.026833285497560377,0.025,0.025,0.025,0.19306896184993627,0.025,0.05437098693259157,0.20814605570183722,0.025,0.025,0.025,0.025,0.1365915201093432,0.025,0.025,0.13849004880790539
0.028098856041658123,0.025,0.1952907704225352,0.043175857968756406,0.40504985854278563,0.025,0.025,0.02572528598958547,0.027197712083316252,0.025,0.025,0.025,0.19306896184993627,0.025,0.0508681356139551,0.20814605570183722,0.025,0.025,0.025,0.025,0.13560526838386966,0.025,0.025,0.1386640658591551
0.028289925786215097,0.025,0.1886041194049812,0.04303255566033867,0.38001972200582235,0.025,0.025,0.025677518553446226,0.027579851572430193,0.025,0.025,0.025,0.19306896184993627,0.025,0.047649068042450726,0.20814605570183722,0.025,0.025,0.025,0.025,0.13487653334621236,0.025,0.025,0.13887396752568515
0.028487883882077986,0.025,0.18230968198109226,0.042884087088441505,0.3540872114477838,0.025,0.025,0.0256280290294805,0.027975767764155973,0.025,0.025,0.025,0.19306896184993627,0.025,0.04470220098789878,0.20814605570183722,0.025,0.025,0.025,0.025,0.1343511091575248,0.025,0.025,0.13912300179539547
0.02869076222887367,0.025,0.17640212627993165,0.04273192832834474,0.3275101480175489,0.025,0.025,0.02557730944278158,0.028381524457747345,0.025,0.025,0.025,0.19306896184993627,0.025,0.042015951220119585,0.20814605570183722,0.025,0.025,0.025,0.025,0.1339747899789606,0.025,0.025,0.13941441665618606
